"item","f_neg_have_choice","f_expensive","f_makes_life_more_convenient","f_expect_free","f_lasts_a_while","f_can_hold_touch","f_value_with_others","analysis","pair","r","df","p_value","term","Value","Std. Error"
"too_high",0.0675486027714601,0.695489381669518,-0.0618530750838233,0.085093115866538,-0.164675498315374,0.00380618663371762,0.169963776528068,"factor anaysis",,,,,,,
"overpriced",0.175730756058921,0.781644044137479,-0.138655825656101,-0.0102724757212761,-0.105167878213558,-0.0403529107239253,0.0319343301055915,"factor anaysis",,,,,,,
"ripoff",0.049389464672483,0.611676015226718,-0.0866209393094372,0.119624570684801,-0.222572885441393,0.0197811597030733,0.241710435747656,"factor anaysis",,,,,,,
"expensive",0.0277798488855677,0.889791919274964,0.0129281575745162,-0.108065540050537,0.0702367538316868,-0.0588222931378494,-0.132162655197929,"factor anaysis",,,,,,,
"worth_price",-0.0228006387171118,-0.297808335865382,0.382522541458946,-0.13562080638788,0.359502531931476,-0.0599577316227244,-0.0568126053996495,"factor anaysis",,,,,,,
"cheaper_not_different",0.064319784741076,0.061037464070355,0.0131418161961548,0.130869425676625,-0.0741527428186728,0.19317446000726,0.242630522884263,"factor anaysis",,,,,,,
"budget_strain",-0.110364303954628,0.773043296229028,0.053886622689816,0.0261120466938944,0.0474449250474788,0.0275916019276507,0.000230974077810111,"factor anaysis",,,,,,,
"needs_wealth",-0.181262140700847,0.643301549984939,-0.0399122582519679,0.0826041711285333,0.172098794633064,0.0187933383207975,0.0343168089147875,"factor anaysis",,,,,,,
"extra_money_to_spare",-0.589283724313932,0.240772981132449,-0.179150764089507,0.0536417217955024,-0.0365916652133298,0.16127559206973,0.0972996165209935,"factor anaysis",,,,,,,
"helps_other_things",0.201400805860014,-0.0110268800092907,0.620220232259604,-0.120057738352414,0.0230984845687831,-0.14042843419034,0.17642271820141,"factor anaysis",,,,,,,
"worthless_alone",-0.0349587563682242,0.0523413540110739,0.00989347369212197,0.0701666108871956,0.0560336156837258,-0.0171721291547787,0.812769991407182,"factor anaysis",,,,,,,
"value_with_others",-0.002259999701067,-0.0516453934138611,0.0722275339081269,-0.0258572403086845,0.143263513284154,-0.0593836206280036,0.836875179634055,"factor anaysis",,,,,,,
"wouldnt_buy_if_not_required",0.0770533509102145,0.200449013652765,0.12720580827996,0.261062673776443,0.00130694536063221,0.0222829515735896,0.210645294085531,"factor anaysis",,,,,,,
"should_come_included",0.0912324546106234,0.136342320446689,0.0783442242038775,0.585455987229645,0.115381984447215,-0.0477697471467933,0.061186919498478,"factor anaysis",,,,,,,
"unnecessary",-0.550099552407895,0.223754689670518,-0.277844899652979,-0.043764926634686,-0.182474795219797,0.0602115613244574,0.133754320785304,"factor anaysis",,,,,,,
"have_choice",-0.788775092567264,-0.0701900031438865,-0.0499345694536856,-0.0383702204253304,0.064087511160616,-0.0614466477689,-0.0591788036079801,"factor anaysis",,,,,,,
"have_other_options",-0.640331285959756,0.126660128263639,0.0857705408245468,0.0155987370818527,-0.0795260865979643,0.00822061389152122,-0.030101113990079,"factor anaysis",,,,,,,
"no_real_alternatives",0.623354390266063,0.0170384702286197,-0.080293774963958,0.0958103887304559,0.0014276429065827,-0.061869922630404,0.140559123912269,"factor anaysis",,,,,,,
"negative_consequences_if_not",0.680288098997252,0.193888777817422,0.146224096475255,0.115904951325705,0.0868677001133493,-0.0235120874781902,-0.0658567747898314,"factor anaysis",,,,,,,
"feel_powerless",0.457521113208298,0.251890563621906,0.0199136246248924,0.285304507077739,-0.0994122597098341,-0.00504791592465505,0.126735696948281,"factor anaysis",,,,,,,
"cant_control_timing",0.679463745581758,0.152359269484655,0.102352298133922,0.0572759859654715,0.0729024566664355,-0.0156850546483674,0.0276150214297675,"factor anaysis",,,,,,,
"purchase_regularly",0.517900012318355,-0.0382697082573841,0.164434052600328,-0.0117044829935047,0.059178989346903,-0.0790234481127707,-0.115335646482373,"factor anaysis",,,,,,,
"buy_similar_soon",0.328157160224929,-0.0212378750125615,0.361525891427595,0.0158776087707686,-0.0224865824140492,0.0420451825935764,0.0140685011815637,"factor anaysis",,,,,,,
"always_pretty_much_same",0.294062329998416,-0.0359266108569078,0.0884804761810155,-0.00378896568303886,-0.184962879158226,0.0570224942590659,0.166399399105717,"factor anaysis",,,,,,,
"recurring_bill",0.14826170105976,0.168648776473303,0.138126972741669,0.0958975513029599,0.262253890774902,-0.517764577411841,-0.0519051575979899,"factor anaysis",,,,,,,
"very_aware_when_charged",-0.25319976631228,0.255336522999923,0.301521514460161,-0.31068863528608,0.0410115393695479,0.0175635887644814,0.0956512131797028,"factor anaysis",,,,,,,
"always_have_to_pay",0.218319035484405,-0.0202344761594459,0.136303996108388,-0.243829644834259,0.0279851856664492,0.0732310426385293,-0.0528157340234152,"factor anaysis",,,,,,,
"can_hold_touch",0.0576163334515466,-0.0682572893663989,-0.0237907008599546,-0.0575589278415344,-0.0489176731811676,0.929548809449874,-0.0386892681921423,"factor anaysis",,,,,,,
"physical_product",-0.0476960690319435,0.0730826602890116,0.101840795155928,-0.0178037187593642,0.0410818711077587,0.875440473760665,-0.0388263110088404,"factor anaysis",,,,,,,
"can_physically_keep",0.026183523542647,-0.00681503615302375,-0.0265662416312633,0.0183435042381272,0.4819228265307,0.627014581537504,0.0495306135684141,"factor anaysis",,,,,,,
"use_long_period",0.0177238474363508,-0.0286903970994392,-0.0600573831898606,0.0156614674771498,0.884987474071467,-0.00294924942609701,0.087689453001561,"factor anaysis",,,,,,,
"lasts_a_while",0.0977512237542528,-0.0386380436741551,-0.0713798201387695,-0.0286456929986529,0.891512193261263,0.0604542571331707,0.0969159691281064,"factor anaysis",,,,,,,
"feels_like_investment",-0.187779706804428,0.137137239035,0.277774255377742,0.193403048435398,0.531645466140081,-0.0968514558025914,-0.0931708083662939,"factor anaysis",,,,,,,
"businesses_give_away_free",-0.0536636614086227,-0.122634749383416,-0.0256632667979629,0.668504675675609,0.0539618946984415,-0.0968799809374783,-0.0400213585673389,"factor anaysis",,,,,,,
"people_dont_pay_money",-0.160621545839731,0.0103548163256164,-0.0123733454658625,0.497979157726203,0.0477269115520132,-0.101566576091524,0.0766749674277831,"factor anaysis",,,,,,,
"expect_free",0.00180095267063515,-0.0243586345310826,0.0320660306985005,0.868788030580769,-0.0415120826616353,-0.0110725592590411,0.0402834139524675,"factor anaysis",,,,,,,
"should_be_free",0.199047923020481,-0.0233864758797631,0.0128156745036577,0.75008178575956,0.000555051523679801,-0.047611822763959,0.017841936915238,"factor anaysis",,,,,,,
"roughly_the_same_anywhere",0.218192462591226,-0.205016777358378,-0.0687310373067461,0.0333579994493908,-0.1763553322314,0.10139138625875,0.355858009299314,"factor anaysis",,,,,,,
"many_different_types",-0.29853259772466,0.133654749406133,0.0938908313276408,-0.0142757265753711,0.222183564709207,0.268223225415875,-0.0558583675786258,"factor anaysis",,,,,,,
"unsure_long_term_benefit",-0.248735568803889,0.263955117128531,-0.0687537588805687,0.234297132352868,-0.152200538413962,0.0285280290393988,0.147833210909224,"factor anaysis",,,,,,,
"unsure_before_using",-0.299863001019524,0.127872841276834,-0.0825270971314425,0.368999221848953,0.0799919017684441,0.186124715898588,0.00317689123117218,"factor anaysis",,,,,,,
"learn_quality_after_purchase",-0.181130733607744,-0.0334367026678608,0.019572294462028,0.327481025576584,-0.0840304436508252,0.136354160686097,-0.101466545837273,"factor anaysis",,,,,,,
"saves_time",-0.073594121994843,-0.166570372977989,0.772458357546317,0.104174295013897,-0.143013461663757,0.0589302519685077,0.0697627560724863,"factor anaysis",,,,,,,
"makes_life_easier",0.0834127313364787,0.015901192205239,0.878609297919004,0.0425272278771966,-0.0165872252921306,0.0219909646178286,-0.0485935355567124,"factor anaysis",,,,,,,
"makes_life_more_convenient",0.0467700766326385,0.0177468668854619,0.886821690892192,-0.016190029341391,-0.0120238426880861,0.0118222566564984,0.00204950292336054,"factor anaysis",,,,,,,
,,,,,,,,"factor score correlations","painful_1_f_neg_have_choice",0.112,399,"p=0.026",,,
,,,,,,,,"factor score correlations","painful_1_f_expensive",0.697,399,"p<.001",,,
,,,,,,,,"factor score correlations","painful_1_f_makes_life_more_convenient",-0.14,399,"p=0.005",,,
,,,,,,,,"factor score correlations","painful_1_f_expect_free",0.261,399,"p<.001",,,
,,,,,,,,"factor score correlations","painful_1_f_lasts_a_while",-0.016,399,"p=0.748",,,
,,,,,,,,"factor score correlations","painful_1_f_can_hold_touch",-0.228,399,"p<.001",,,
,,,,,,,,"factor score correlations","painful_1_f_value_with_others",0.082,399,"p=0.101",,,
,,,,,,,,"factor score correlations","f_neg_have_choice_f_expensive",-0.035,399,"p=0.488",,,
,,,,,,,,"factor score correlations","f_neg_have_choice_f_makes_life_more_convenient",0.411,399,"p<.001",,,
,,,,,,,,"factor score correlations","f_neg_have_choice_f_expect_free",0.198,399,"p<.001",,,
,,,,,,,,"factor score correlations","f_neg_have_choice_f_lasts_a_while",0.05,399,"p=0.322",,,
,,,,,,,,"factor score correlations","f_neg_have_choice_f_can_hold_touch",-0.236,399,"p<.001",,,
,,,,,,,,"factor score correlations","f_neg_have_choice_f_value_with_others",0.086,399,"p=0.085",,,
,,,,,,,,"factor score correlations","f_expensive_f_makes_life_more_convenient",-0.227,399,"p<.001",,,
,,,,,,,,"factor score correlations","f_expensive_f_expect_free",0.129,399,"p=0.01",,,
,,,,,,,,"factor score correlations","f_expensive_f_lasts_a_while",-0.119,399,"p=0.017",,,
